Library	Quality	Initial_reads_aligned	Postfiltering_reads_aligned	Duplication_rate	Naive_coverage	Background	Reads_per_Mb	Percent_WC	Mode_GC	Mode_insert_size	Sequencing_for_0.05x_cov	Mitochondria_coverage	rDNA_coverage_5s	Average_telomere_length_kB
blm_recq5-1-single-c13-w34_	p	139816	127426	9.3%	0.3%	2.4%	18	10.0%	45.0%	152	>=2	0.0%	0.1%	0
blm_recq5-1-single-c13-w35_	p	61977	56516	13.9%	0.1%	3.3%	8	12.0%	47.0%	151	>=2	0.0%	0.2%	0
blm_recq5-1-single-c13-w36_	p	70898	64604	11.1%	0.1%	2.8%	9	4.0%	49.0%	152	NA	0.0%	0.0%	0
blm_recq5-1-single-c13-w37_	p	66299	60528	13.6%	0.1%	2.9%	8	20.0%	47.0%	152	NA	0.0%	0.0%	0
blm_recq5-1-single-c13-w38_	p	13	12	16.7%	0.0%	0.0%	0	NA	38.0%	50	NA	0.0%	0.0%	0
blm_recq5-1-single-c13-w39_	p	58927	53816	12.8%	0.1%	1.8%	7	4.3%	46.0%	154	>=2	0.0%	0.1%	0
blm_recq5-1-single-c13-w4_	p	987007	902448	10.9%	2.0%	38.2%	130	60.7%	49.0%	152	0.22	0.0%	2.2%	0.0730895
blm_recq5-1-single-c13-w40_	p	74768	68160	14.0%	0.1%	6.8%	9	22.2%	48.0%	152	>=2	0.0%	0.0%	0
blm_recq5-1-single-c13-w41_	p	97415	88762	7.7%	0.2%	2.3%	13	0.0%	47.0%	152	>=2	0.0%	0.2%	0
blm_recq5-1-single-c13-w42_	g	51269	46980	15.0%	0.1%	17.4%	6	20.7%	47.0%	157	NA	0.0%	0.1%	0
blm_recq5-1-single-c13-w43_	p	60271	55016	12.4%	0.1%	1.5%	8	8.0%	44.0%	154	NA	0.0%	0.1%	0
blm_recq5-1-single-c13-w44_	p	72823	66098	12.4%	0.1%	3.2%	9	17.2%	48.0%	152	NA	0.0%	0.2%	0
blm_recq5-1-single-c13-w45_	p	169490	154752	10.4%	0.3%	4.1%	22	3.8%	49.0%	151	>=2	0.0%	0.5%	0
blm_recq5-1-single-c13-w46_	p	98187	90420	14.2%	0.2%	25.8%	11	24.1%	49.0%	152	NA	0.0%	0.1%	0.726018
blm_recq5-1-single-c13-w47_	p	44567	40424	10.0%	0.1%	3.0%	6	12.0%	49.0%	153	>=2	0.0%	0.2%	0
blm_recq5-1-single-c13-w48_	p	152009	139962	9.4%	0.3%	3.7%	21	46.3%	47.0%	152	NA	0.0%	0.4%	0
blm_recq5-1-single-c13-w49_	p	51125	46736	13.9%	0.1%	1.9%	6	8.0%	44.0%	156	NA	0.0%	0.1%	0
blm_recq5-1-single-c13-w5_	p	22271	20402	13.9%	0.0%	2.1%	3	0.0%	46.0%	158	NA	0.0%	0.1%	0
blm_recq5-1-single-c13-w6_	p	102637	93866	8.3%	0.2%	2.4%	14	43.8%	48.0%	152	>=2	0.0%	0.1%	0
blm_recq5-1-single-c13-w7_	p	57951	52684	15.7%	0.1%	2.0%	7	12.0%	48.0%	156	NA	0.0%	0.1%	0
blm_recq5-1-single-c13-w8_	p	78665	71440	20.6%	0.1%	3.3%	8	7.7%	49.0%	138	>=2	0.0%	0.0%	0
blm_recq5-1-single-c13-w9_	p	112604	102912	12.2%	0.2%	4.1%	14	3.8%	49.0%	150	NA	0.0%	0.2%	0
blm_recq5-1-single-c14-w1_	p	1409366	1290212	16.3%	2.6%	25.8%	169	63.3%	48.0%	151	0.22	0.0%	2.2%	0
blm_recq5-1-single-c14-w10_	p	220099	202182	11.4%	0.4%	8.0%	28	14.7%	40.0%	153	0.56	0.0%	0.6%	0
blm_recq5-1-single-c14-w11_	p	13	10	0.0%	0.0%	0.0%	0	NA	57.0%	179	NA	0.0%	0.0%	0
blm_recq5-1-single-c14-w12_	p	87081	79676	23.0%	0.1%	3.1%	10	7.7%	49.0%	150	NA	0.0%	0.1%	0
blm_recq5-1-single-c14-w13_	p	128594	117394	15.6%	0.2%	3.0%	15	7.4%	48.0%	152	0.91	0.0%	0.1%	0
blm_recq5-1-single-c14-w14_	p	69375	63276	21.8%	0.1%	2.1%	8	8.3%	49.0%	152	NA	0.0%	0.1%	0
blm_recq5-1-single-c14-w15_	p	467701	428768	19.5%	0.8%	15.6%	48	26.5%	49.0%	150	NA	0.0%	0.8%	0
blm_recq5-1-single-c14-w16_	p	20	20	0.0%	0.0%	0.0%	0	NA	38.0%	53	NA	0.0%	0.0%	0
blm_recq5-1-single-c14-w17_	p	88126	80176	8.1%	0.2%	2.2%	12	8.0%	44.0%	159	>=2	0.0%	0.2%	0
blm_recq5-1-single-c14-w18_	p	16	10	0.0%	0.0%	0.0%	0	NA	50.0%	37	NA	0.0%	0.0%	0
blm_recq5-1-single-c14-w19_	g	310304	283760	14.2%	0.6%	2.1%	38	22.2%	47.0%	151	0.55	0.0%	0.3%	0
blm_recq5-1-single-c14-w2_	p	864571	789518	17.0%	1.6%	20.5%	107	53.8%	47.0%	152	0.28	0.0%	1.3%	0
blm_recq5-1-single-c14-w20_	p	91516	84058	21.0%	0.2%	13.8%	10	32.1%	48.0%	153	>=2	0.0%	0.0%	0
blm_recq5-1-single-c14-w21_	p	72741	66396	18.7%	0.1%	3.1%	8	16.7%	49.0%	151	>=2	0.0%	0.1%	0
blm_recq5-1-single-c14-w22_	p	268600	245806	14.8%	0.5%	1.7%	35	9.4%	41.0%	152	0.84	0.0%	0.4%	0
blm_recq5-1-single-c14-w23_	p	112232	102074	18.8%	0.2%	2.7%	13	13.3%	48.0%	152	>=2	0.0%	0.2%	0
blm_recq5-1-single-c14-w24_	p	49	38	5.3%	0.0%	0.0%	0	NA	53.0%	160	NA	0.0%	0.0%	0
blm_recq5-1-single-c14-w26_	p	16	16	0.0%	0.0%	0.0%	0	NA	58.0%	105	NA	0.0%	0.0%	0
blm_recq5-1-single-c14-w27_	p	152773	139066	18.7%	0.3%	2.7%	18	7.1%	47.0%	153	>=2	0.0%	0.3%	0
blm_recq5-1-single-c14-w28_	p	63940	58342	15.8%	0.1%	2.5%	8	4.3%	47.0%	154	>=2	0.0%	0.1%	0
blm_recq5-1-single-c14-w29_	p	28681	26102	12.2%	0.1%	1.5%	3	0.0%	46.0%	154	NA	0.0%	0.0%	0
blm_recq5-1-single-c14-w3_	p	909979	834564	17.7%	1.7%	32.3%	110	57.8%	49.0%	151	0.27	0.0%	1.4%	0
blm_recq5-1-single-c14-w30_	p	96799	88388	19.4%	0.2%	3.0%	11	6.7%	50.0%	152	>=2	0.0%	0.1%	0
blm_recq5-1-single-c14-w31_	p	84290	77276	22.9%	0.1%	3.1%	9	17.2%	45.0%	156	>=2	0.0%	0.1%	0
blm_recq5-1-single-c14-w32_	p	69556	63666	20.4%	0.1%	3.4%	8	15.4%	47.0%	155	>=2	0.0%	0.1%	0
blm_recq5-1-single-c14-w33_	p	181957	167542	15.2%	0.3%	4.9%	23	15.2%	50.0%	149	>=2	0.0%	0.4%	0
blm_recq5-1-single-c14-w34_	p	13	10	0.0%	0.0%	0.0%	0	NA	26.0%	57	NA	0.0%	0.0%	0
blm_recq5-1-single-c14-w35_	p	31	24	16.7%	0.0%	0.0%	0	NA	39.0%	55	NA	0.0%	0.0%	0
blm_recq5-1-single-c14-w36_	p	89202	81308	12.7%	0.2%	6.9%	11	13.8%	49.0%	160	>=2	0.0%	0.1%	0
blm_recq5-1-single-c14-w37_	p	85327	78056	20.7%	0.2%	1.8%	10	3.8%	46.0%	156	>=2	0.0%	0.1%	0
blm_recq5-1-single-c14-w38_	g	185553	170538	13.7%	0.4%	2.1%	23	5.3%	49.0%	151	0.59	0.0%	0.3%	0
blm_recq5-1-single-c14-w39_	g	54080	49642	21.6%	0.1%	13.1%	6	25.9%	44.0%	157	>=2	0.0%	0.0%	0
blm_recq5-1-single-c14-w4_	p	447516	406768	19.6%	0.8%	20.0%	53	48.6%	48.0%	152	0.61	0.0%	0.8%	0
blm_recq5-1-single-c14-w40_	p	102841	93002	19.9%	0.2%	2.6%	12	3.8%	48.0%	151	>=2	0.0%	0.3%	0
blm_recq5-1-single-c14-w41_	p	25239	23004	14.3%	0.0%	4.3%	3	8.3%	49.0%	155	NA	0.0%	0.0%	0
blm_recq5-1-single-c14-w42_	p	36366	32996	19.6%	0.1%	6.0%	4	29.6%	47.0%	152	>=2	0.0%	0.1%	0
blm_recq5-1-single-c14-w43_	p	48409	44122	19.4%	0.1%	5.6%	5	12.0%	47.0%	152	>=2	0.0%	0.1%	0
blm_recq5-1-single-c14-w44_	p	16	14	0.0%	0.0%	0.0%	0	NA	44.0%	50	NA	0.0%	0.0%	0
blm_recq5-1-single-c14-w45_	p	38544	35110	19.6%	0.1%	1.8%	4	11.5%	42.0%	152	>=2	0.0%	0.0%	0
blm_recq5-1-single-c14-w46_	p	38446	35104	19.7%	0.1%	0.0%	4	21.7%	48.0%	154	>=2	0.0%	0.2%	0
blm_recq5-1-single-c14-w47_	p	26578	24060	15.3%	0.0%	7.8%	3	4.2%	49.0%	152	NA	0.0%	0.0%	0
blm_recq5-1-single-c14-w48_	p	33792	30892	21.0%	0.1%	3.4%	4	4.3%	48.0%	154	>=2	0.0%	0.0%	0
blm_recq5-1-single-c14-w49_	p	42219	38258	21.0%	0.1%	7.2%	4	0.0%	48.0%	156	>=2	0.0%	0.0%	0
blm_recq5-1-single-c14-w5_	p	33500	30548	12.4%	0.1%	3.2%	4	8.7%	49.0%	150	>=2	0.0%	0.1%	0
blm_recq5-1-single-c14-w6_	p	42	16	0.0%	0.0%	0.0%	0	NA	37.0%	82	NA	0.0%	0.0%	0
blm_recq5-1-single-c14-w7_	p	60230	55042	14.2%	0.1%	4.0%	7	20.0%	47.0%	155	>=2	0.0%	0.1%	0
blm_recq5-1-single-c14-w8_	g	252737	231380	10.5%	0.5%	2.8%	33	7.7%	47.0%	152	0.42	0.0%	0.4%	0
blm_recq5-1-single-c14-w9_	g	197302	180510	15.7%	0.4%	2.3%	24	6.9%	48.0%	152	>=2	0.0%	0.5%	0
blm_recq5-2-single-c15-w1_	p	4508955	4130758	37.9%	6.3%	13.0%	415	54.0%	45.0%	156	0.24	0.0%	6.9%	0.0320624
blm_recq5-2-single-c15-w10_	p	1935399	1780640	37.4%	2.7%	7.3%	173	31.3%	44.0%	153	0.38	0.0%	3.6%	0.0372401
blm_recq5-2-single-c15-w11_	p	32	28	0.0%	0.0%	0.0%	0	NA	41.0%	180	NA	0.0%	0.0%	0
blm_recq5-2-single-c15-w12_	p	80	62	0.0%	0.0%	0.0%	0	NA	43.0%	142	NA	0.0%	0.0%	0
blm_recq5-2-single-c15-w13_	p	12	12	0.0%	0.0%	0.0%	0	NA	43.0%	121	NA	0.0%	0.0%	0
blm_recq5-2-single-c15-w14_	p	868211	793798	44.1%	1.1%	3.9%	70	20.0%	48.0%	156	>=2	0.0%	0.8%	0
blm_recq5-2-single-c15-w15_	g	339229	307500	37.9%	0.5%	2.7%	31	11.8%	46.0%	154	>=2	0.0%	0.4%	0
blm_recq5-2-single-c15-w16_	p	33	30	6.7%	0.0%	0.0%	0	NA	44.0%	151	NA	0.0%	0.0%	0
blm_recq5-2-single-c15-w17_	g	131177	119738	28.9%	0.2%	1.6%	13	0.0%	44.0%	172	>=2	0.0%	0.2%	0
blm_recq5-2-single-c15-w18_	p	16	14	0.0%	0.0%	0.0%	0	NA	37.0%	129	NA	0.0%	0.0%	0
blm_recq5-2-single-c15-w19_	p	88	78	10.3%	0.0%	0.0%	0	NA	43.0%	150	NA	0.0%	0.0%	0
blm_recq5-2-single-c15-w2_	p	6549785	6006644	38.4%	9.0%	21.3%	604	54.0%	45.0%	157	0.21	0.0%	7.3%	0.0110464
blm_recq5-2-single-c15-w20_	p	161	82	12.2%	0.0%	0.0%	0	NA	33.0%	184	NA	0.0%	0.0%	0
blm_recq5-2-single-c15-w21_	g	513973	468998	38.7%	0.7%	2.0%	46	8.5%	45.0%	156	>=2	0.0%	0.7%	0
blm_recq5-2-single-c15-w22_	p	654856	597744	43.1%	0.8%	11.5%	51	18.6%	45.0%	159	>=2	0.0%	0.4%	0
blm_recq5-2-single-c15-w23_	p	484788	444444	42.3%	0.6%	13.1%	38	10.3%	48.0%	167	>=2	0.0%	0.3%	0
blm_recq5-2-single-c15-w24_	g	486113	447460	39.1%	0.7%	2.8%	44	11.8%	46.0%	154	>=2	0.0%	0.7%	0
blm_recq5-2-single-c15-w25_	p	677751	622356	43.5%	0.9%	12.2%	52	19.6%	48.0%	157	>=2	0.0%	0.4%	0
blm_recq5-2-single-c15-w26_	p	48	40	0.0%	0.0%	0.0%	0	NA	48.0%	147	NA	0.0%	0.0%	0
blm_recq5-2-single-c15-w27_	g	461224	423724	37.8%	0.6%	2.4%	44	5.7%	48.0%	155	>=2	0.0%	0.4%	0
blm_recq5-2-single-c15-w28_	g	1444529	1318594	34.0%	2.1%	1.8%	141	8.0%	44.0%	157	0.48	0.0%	2.1%	0
blm_recq5-2-single-c15-w29_	p	84541	76528	22.5%	0.1%	2.5%	9	12.0%	45.0%	155	>=2	0.0%	0.2%	0
blm_recq5-2-single-c15-w3_	p	2028183	1859566	38.8%	2.8%	11.3%	184	58.5%	47.0%	156	0.42	0.0%	3.4%	0
blm_recq5-2-single-c15-w30_	p	445747	408326	41.8%	0.6%	17.2%	35	25.0%	45.0%	156	>=2	0.0%	1.2%	0
blm_recq5-2-single-c15-w31_	p	40	34	0.0%	0.0%	0.0%	0	NA	40.0%	81	NA	0.0%	0.0%	0
blm_recq5-2-single-c15-w32_	g	418654	381854	36.6%	0.6%	2.1%	39	15.8%	47.0%	156	>=2	0.0%	0.6%	0
blm_recq5-2-single-c15-w33_	p	55	50	12.0%	0.0%	0.0%	0	NA	35.0%	153	NA	0.0%	0.0%	0
blm_recq5-2-single-c15-w34_	g	602566	555140	38.4%	0.8%	2.5%	55	12.3%	48.0%	157	>=2	0.0%	0.7%	0
blm_recq5-2-single-c15-w35_	p	360634	328298	40.4%	0.5%	4.8%	32	16.3%	47.0%	155	>=2	0.0%	0.6%	0
blm_recq5-2-single-c15-w36_	p	131	110	18.2%	0.0%	0.0%	0	NA	48.0%	157	1.79	0.0%	0.0%	0
blm_recq5-2-single-c15-w37_	p	27	22	0.0%	0.0%	0.0%	0	NA	47.0%	146	NA	0.0%	0.0%	0
blm_recq5-2-single-c15-w38_	p	200176	185602	35.6%	0.3%	2.3%	20	0.0%	46.0%	159	>=2	0.0%	0.3%	0
blm_recq5-2-single-c15-w39_	p	44	38	0.0%	0.0%	0.0%	0	NA	49.0%	138	NA	0.0%	0.0%	0
blm_recq5-2-single-c15-w4_	p	5336027	4897932	37.0%	7.5%	25.1%	493	58.3%	47.0%	159	0.22	0.0%	6.8%	0.0135976
blm_recq5-2-single-c15-w40_	p	182	72	8.3%	0.0%	0.0%	0	NA	51.0%	91	NA	0.0%	0.0%	0
blm_recq5-2-single-c15-w41_	g	176211	160704	26.5%	0.3%	2.8%	19	6.3%	46.0%	156	>=2	0.0%	0.4%	0
blm_recq5-2-single-c15-w42_	g	479642	437118	38.5%	0.7%	2.3%	45	18.6%	46.0%	154	>=2	0.0%	0.4%	0
blm_recq5-2-single-c15-w43_	p	166638	151716	37.9%	0.2%	3.4%	15	9.7%	41.0%	163	>=2	0.0%	0.1%	0
blm_recq5-2-single-c15-w44_	p	1155539	1058270	40.3%	1.5%	3.6%	112	13.5%	45.0%	169	>=2	0.0%	1.1%	0.0631729
blm_recq5-2-single-c15-w45_	p	145008	133516	32.5%	0.2%	3.6%	15	20.0%	45.0%	155	NA	0.0%	0.3%	0
blm_recq5-2-single-c15-w46_	p	1049264	964750	37.0%	1.5%	10.6%	89	25.6%	50.0%	161	1.43	0.0%	1.1%	0
blm_recq5-2-single-c15-w47_	p	1675321	1546522	35.4%	2.4%	16.6%	146	37.0%	41.0%	166	0.43	0.0%	2.9%	0
blm_recq5-2-single-c15-w48_	p	184	166	4.8%	0.0%	0.0%	0	NA	46.0%	182	NA	0.0%	0.0%	0
blm_recq5-2-single-c15-w49_	p	2602	178	10.1%	0.0%	0.0%	0	NA	42.0%	174	NA	0.0%	0.0%	0
blm_recq5-2-single-c15-w5_	p	344591	316290	27.1%	0.6%	16.7%	34	29.7%	50.0%	164	>=2	0.0%	0.4%	0
blm_recq5-2-single-c15-w6_	p	219487	201108	39.0%	0.3%	3.0%	20	6.5%	47.0%	155	>=2	0.0%	0.5%	0
blm_recq5-2-single-c15-w7_	p	371028	338628	44.1%	0.5%	2.2%	31	5.9%	44.0%	167	>=2	0.0%	0.2%	0
blm_recq5-2-single-c15-w8_	g	1941286	1768810	38.8%	2.6%	1.4%	177	17.9%	42.0%	161	0.41	0.0%	2.7%	0
blm_recq5-2-single-c15-w9_	p	43	34	5.9%	0.0%	0.0%	0	NA	38.0%	145	NA	0.0%	0.0%	0
blm_recq5-2-single-c16-w1_	p	5408914	4966306	37.7%	7.5%	20.2%	503	63.1%	44.0%	155	0.22	0.0%	5.9%	0.0799819
blm_recq5-2-single-c16-w10_	p	232819	212830	27.7%	0.4%	2.6%	24	15.2%	47.0%	154	>=2	0.0%	0.3%	0
blm_recq5-2-single-c16-w11_	g	271496	248366	43.2%	0.3%	3.2%	23	9.1%	48.0%	154	>=2	0.0%	0.5%	0
blm_recq5-2-single-c16-w12_	g	461928	422766	42.1%	0.6%	2.7%	40	17.9%	46.0%	154	>=2	0.0%	0.2%	0
blm_recq5-2-single-c16-w13_	p	74	62	35.5%	0.0%	0.0%	0	NA	46.0%	37	NA	0.0%	0.0%	0
blm_recq5-2-single-c16-w14_	p	1009304	930902	43.1%	1.3%	13.1%	80	27.5%	48.0%	158	>=2	0.0%	1.3%	0
blm_recq5-2-single-c16-w15_	g	1073759	989572	37.6%	1.5%	2.2%	103	18.0%	40.0%	156	1.39	0.0%	1.4%	0.0671017
blm_recq5-2-single-c16-w16_	g	382409	350266	36.3%	0.5%	2.3%	36	13.2%	45.0%	154	>=2	0.0%	0.0%	0
blm_recq5-2-single-c16-w17_	p	844728	778514	28.3%	1.4%	10.0%	85	23.6%	40.0%	155	0.61	0.0%	1.2%	0.258106
blm_recq5-2-single-c16-w18_	g	513092	468040	39.5%	0.7%	2.4%	45	11.4%	46.0%	157	>=2	0.0%	0.5%	0.282036
blm_recq5-2-single-c16-w19_	g	287266	261674	41.5%	0.4%	3.2%	24	9.4%	47.0%	155	>=2	0.0%	0.2%	0
blm_recq5-2-single-c16-w2_	p	6409494	5885958	36.3%	9.2%	16.3%	618	60.3%	44.0%	156	0.21	0.0%	8.7%	0.0450958
blm_recq5-2-single-c16-w20_	p	72	54	0.0%	0.0%	0.0%	0	NA	52.0%	143	NA	0.0%	0.0%	0
blm_recq5-2-single-c16-w21_	g	628869	575888	37.9%	0.9%	2.2%	58	7.0%	44.0%	159	>=2	0.0%	0.6%	0
blm_recq5-2-single-c16-w22_	g	609366	557920	38.7%	0.8%	3.1%	56	18.8%	46.0%	154	>=2	0.0%	0.3%	0
blm_recq5-2-single-c16-w23_	p	1276652	1183272	36.9%	1.8%	1.8%	135	21.9%	41.0%	157	0.66	0.0%	1.6%	0
blm_recq5-2-single-c16-w24_	p	491628	454058	37.3%	0.7%	2.4%	46	15.0%	49.0%	160	>=2	0.0%	1.0%	0.145953
blm_recq5-2-single-c16-w25_	p	555979	509152	40.4%	0.7%	3.0%	49	9.1%	46.0%	153	>=2	0.0%	0.6%	0
blm_recq5-2-single-c16-w26_	g	1084199	993666	38.4%	1.5%	1.8%	99	10.6%	41.0%	156	0.98	0.0%	1.4%	0.200972
blm_recq5-2-single-c16-w27_	p	70	38	0.0%	0.0%	0.0%	0	NA	40.0%	148	NA	0.0%	0.0%	0
blm_recq5-2-single-c16-w28_	g	267529	245196	23.5%	0.5%	2.3%	30	8.6%	45.0%	154	>=2	0.0%	0.9%	0
blm_recq5-2-single-c16-w29_	g	1118820	1022510	30.6%	1.7%	1.5%	115	14.9%	41.0%	154	0.51	0.0%	1.5%	0
blm_recq5-2-single-c16-w3_	p	5754921	5279480	38.3%	7.9%	33.3%	539	56.8%	44.0%	154	0.22	0.0%	7.6%	0
blm_recq5-2-single-c16-w30_	p	821419	754228	39.2%	1.1%	6.2%	74	23.1%	43.0%	155	>=2	0.0%	1.3%	0
blm_recq5-2-single-c16-w31_	p	1223284	1121626	38.5%	1.7%	1.8%	123	13.0%	41.0%	154	0.78	0.0%	1.7%	0
blm_recq5-2-single-c16-w32_	g	386758	353990	36.7%	0.5%	2.4%	36	8.3%	46.0%	158	>=2	0.0%	0.6%	0
blm_recq5-2-single-c16-w33_	g	581249	531938	36.3%	0.8%	2.5%	55	15.4%	44.0%	153	>=2	0.0%	0.6%	0
blm_recq5-2-single-c16-w34_	g	479186	438546	35.4%	0.7%	2.5%	46	10.8%	43.0%	156	>=2	0.0%	0.9%	0
blm_recq5-2-single-c16-w35_	g	719600	664108	37.3%	1.0%	2.7%	66	14.6%	45.0%	155	>=2	0.0%	0.9%	0
blm_recq5-2-single-c16-w36_	g	776683	712524	40.3%	1.0%	2.3%	66	20.5%	47.0%	154	>=2	0.0%	0.6%	0
blm_recq5-2-single-c16-w37_	p	136	128	3.1%	0.0%	0.0%	0	NA	38.0%	151	NA	0.0%	0.0%	0
blm_recq5-2-single-c16-w38_	g	466433	427056	38.8%	0.6%	2.6%	42	13.5%	44.0%	155	>=2	0.0%	0.5%	0
blm_recq5-2-single-c16-w39_	p	195	164	25.6%	0.0%	0.0%	0	NA	46.0%	157	>=2	0.0%	0.0%	0
blm_recq5-2-single-c16-w4_	p	4012906	3676606	36.3%	5.7%	21.5%	385	58.6%	46.0%	155	0.24	0.0%	4.9%	0.0358532
blm_recq5-2-single-c16-w40_	g	703259	642770	38.8%	1.0%	1.9%	64	15.9%	44.0%	155	>=2	0.0%	0.7%	0
blm_recq5-2-single-c16-w41_	p	437671	402196	31.7%	0.7%	13.2%	42	33.3%	45.0%	153	>=2	0.0%	1.1%	0
blm_recq5-2-single-c16-w42_	g	672085	614146	39.5%	0.9%	2.4%	61	8.7%	47.0%	156	>=2	0.0%	0.8%	0.107311
blm_recq5-2-single-c16-w43_	p	30	22	0.0%	0.0%	0.0%	0	NA	37.0%	90	NA	0.0%	0.0%	0
blm_recq5-2-single-c16-w44_	p	1133432	1037790	39.4%	1.5%	8.0%	99	11.9%	48.0%	154	>=2	0.0%	1.3%	0
blm_recq5-2-single-c16-w45_	g	328646	299242	37.2%	0.5%	3.7%	30	5.6%	42.0%	153	NA	0.0%	0.5%	0
blm_recq5-2-single-c16-w46_	p	188	118	15.3%	0.0%	0.0%	0	NA	47.0%	154	NA	0.0%	0.0%	0
blm_recq5-2-single-c16-w47_	p	367656	338418	32.1%	0.6%	3.1%	40	13.2%	45.0%	153	>=2	0.0%	0.1%	0
blm_recq5-2-single-c16-w48_	p	298	284	0.7%	0.0%	0.0%	0	NA	50.0%	150	NA	0.0%	0.0%	0
blm_recq5-2-single-c16-w49_	p	1689	302	2.6%	0.0%	0.0%	0	NA	40.0%	168	NA	0.0%	0.0%	0
blm_recq5-2-single-c16-w5_	g	217069	199352	34.7%	0.3%	2.5%	21	9.3%	47.0%	157	>=2	0.0%	0.1%	0
blm_recq5-2-single-c16-w6_	g	331960	304524	40.9%	0.4%	2.9%	29	10.8%	47.0%	156	>=2	0.0%	0.5%	0
blm_recq5-2-single-c16-w7_	g	510572	469760	40.1%	0.7%	3.0%	46	14.3%	46.0%	155	>=2	0.0%	0.5%	0
